,Player,Position,season,draft_score
323,Austin Watson,RW/C,2010,1.6140242212406886
324,Markus Phillips,D,2017,1.6134466662891125
325,Stefan Legein,RW,2007,1.6123774866119054
326,Mikhail Stefanovich,W/C,2008,1.6118258214836398
327,Nic Petan,C/LW,2013,1.6117461268943059
328,John Moore,D,2009,1.6110913743271524
329,Marc-André Bourdon,D,2008,1.6095729246713923
330,Filip Chlapík,C,2015,1.6091036491881607
331,Marc-Édouard Vlasic,D,2005,1.6089831906389649
332,Mitchell Vande Sompel,D,2015,1.6085097354481788
333,Michal Repik,RW,2007,1.6084991798356123
334,Seth Griffith,C/W,2011,1.6079882362298035
335,Luke Kunin,C,2016,1.6066682387890214
336,Steven Shipley,C,2010,1.6062337731964849
337,Marc-Olivier Roy,C,2013,1.6047261824472003
338,Mason Shaw,C,2017,1.6025243937666989
339,T.J. Brennan,D,2007,1.6020940890820166
340,Yakov Trenin,C/LW,2015,1.6018417062263688
341,Corey Tropp,RW,2007,1.6017950505808058
342,Pascal Laberge,C,2016,1.601163491638068
343,T.J. Hensick,C/RW,2004,1.601080095647565
344,Shane Prince,C/LW,2011,1.5996263599073517
345,Steve Bernier,RW,2003,1.5991734611968598
346,Nick Henry,RW,2017,1.5991067678265862
347,Luke Lynes,C,2006,1.5939704660999685
348,Logan Brown,C,2016,1.5936393695968727
349,Luke Schenn,D,2008,1.5935571799124442
350,Ryan O'Connor,D,2010,1.5932247874296785
351,Luke Philp,C,2014,1.5897507264759385
352,Brooks Macek,C/RW,2010,1.5893877200280548
353,Cale Fleury,D,2017,1.589326957111196
354,Alexandre Carrier,D,2015,1.5888973403512372
355,Kenndal McArdle,LW,2005,1.5887642495906902
356,Dustin Byfuglien,D,2003,1.5869362106111353
357,Dominik Uher,RW/LW,2011,1.5862380213964484
358,Jaedon Descheneau,RW,2013,1.5855145142463392
359,Nikolas Brouillard,D,2013,1.5850654492820069
360,Nathan Bastian,RW,2016,1.5845047887976462
361,Kruise Reddick,C/RW,2008,1.584441288288134
362,Daniel Sprong,RW,2015,1.5841978202353963
363,Jérôme Leduc,D,2010,1.5838058605206426
364,Maxime Fortier,RW,2016,1.5832299074986977
365,Olivier Latendresse,LW/C,2004,1.5828237028444674
366,Tom Fritsche,LW,2005,1.581409329771325
367,Benjamin Casavant,LW,2009,1.580784808967003
368,Noah Gregor,C,2016,1.580316457980006
369,François Bouchard,RW/LW,2006,1.579690051550948
370,Ethan Bear,D,2015,1.576807084954023
371,Brendan Ranford,LW/RW,2010,1.5767869210249739
372,Marc-Antoine Pouliot,C/RW,2003,1.5763714067178558
373,Aaron Palushaj,RW/LW,2007,1.5763179790366353
374,Ivan Vishnevsky,D,2006,1.576119080373624
375,Michael Brodzinski,D,2013,1.5737292565805445
376,Griffin Reinhart,D,2012,1.5727923430107567
377,Dillon Dubé,C/RW,2016,1.5725719036224177
378,Logan Pyett,D,2006,1.5723213679524652
379,Wacey Rabbit,C,2005,1.571836675253452
380,Philippe Maillet,C,2011,1.571330490943615
381,Bobby Sanguinetti,D,2006,1.5711244950613306
382,Valeri Nichushkin,RW/LW,2013,1.568730417112154
383,Simon Stransky,LW,2016,1.567953190103334
384,Jyri Niemi,D,2008,1.5678720598593223
385,Eric Roy,D,2013,1.5668881690296153
386,Nolan Patrick,C,2017,1.5662732216136748
387,Justin Feser,C/LW,2010,1.5658354752281363
388,Dennis Yan,LW,2015,1.5649518929387716
389,Quinton Howden,C/LW,2010,1.5639331202910611
390,Kyle Beach,LW/RW,2008,1.5619453855136602
391,Taylor Cammarata,C/LW,2013,1.560286224048204
392,Alex Plante,D,2007,1.5585960668622447
393,Nicolas Hague,D,2017,1.5581867700016225
394,Tyler Redenbach,C,2003,1.5581624683566226
395,Olli Juolevi,D,2016,1.5568387721565768
396,Vinny Scarsella,RW,2008,1.555572719906762
397,Maxim Grachyov,LW,2007,1.5545424554740355
398,Brandon Hynes,RW,2010,1.553316772633062
399,Ian McCoshen,D,2013,1.5532100187020816
400,Noah Juulsen,D,2015,1.552470452500037
401,Chris Butler,D,2005,1.5513377922999072
402,Dalton Thrower,D,2012,1.5507741898543885
403,Brendan Harms,C/RW,2013,1.5501053144238348
404,Kellan Tochkin,RW,2009,1.5500019475423754
405,Roope Hintz,LW,2015,1.5497971466855693
406,Maxime Lajoie,D,2016,1.5483423535714693
407,Juuso Ikonen,RW,2013,1.545974922984989
408,Bill Sweatt,LW,2007,1.5455729310802668
409,Matt Nieto,LW/RW,2011,1.5452797764302935
410,Jeff Petry,D,2006,1.5448271524583932
411,Cullen Eddy,D,2007,1.544217213922568
412,Jonathon Blum,D,2007,1.5431623133400605
413,Loik Léveillé,D,2015,1.5430099390826792
414,Adam Larsson,D,2011,1.5415919996238934
415,Jansen Harkins,C,2015,1.5404872459912464
416,Ben Shutron,D,2006,1.5403763682940186
417,Liam Pecararo,LW,2014,1.5398209967275651
418,Phillip Di Giuseppe,LW/RW,2012,1.539664684381456
