,Player,Position,season,draft_score
4226,Dominic Beauchemin,LW,2011,0.11657965125109684
4227,Tommy Lapierre,LW,2015,0.11657965125109684
4228,Anthony Patriarco,RW,2013,0.11657965125109684
4229,Jérémy-Michael Charchuk,RW,2010,0.11657965125109684
4230,Alexandre Caron-Roy,LW,2013,0.11657965125109684
4231,Anthony Morin,F,2017,0.11657965125109684
4232,Cédric Paquette,C/LW,2011,0.11657965125109684
4233,Tyler Brown,F,2013,0.11657965125109684
4234,Jérémy Côté,F,2017,0.11657965125109684
4235,Jiri Sekac,LW/RW,2010,0.11653597320704201
4236,Luke Witkowski,RW/D,2008,0.11650733054443423
4237,Nate Dewhurst,F,2008,0.11650707454207057
4238,Dmitri Pestunov,C,2003,0.11650441545759599
4239,Peter Sakaris,LW/RW,2010,0.11642395309221179
4240,Stepan Jenik,D,2011,0.11636761471672952
4241,Martin Parýzek,D,2007,0.11636761471672952
4242,Dalimil Mikyska,D,2017,0.11636761471672952
4243,Tomas Kudelka,D,2005,0.11636761471672952
4244,Mike Davies,W/D,2015,0.11636533032379168
4245,Kevin Raine,D,2011,0.11635115056392786
4246,Brian Williams,C,2014,0.11629420518352859
4247,Brett Gorman,F,2004,0.11628801334894946
4248,Zach Frye,D,2012,0.11628188764177702
4249,Joe Wegwerth,RW/LW,2014,0.11625597264430115
4250,James Sanchez,LW,2016,0.11625597044858674
4251,Linus Arnesson,D,2013,0.11624294664561542
4252,Matthew Hansen,F,2011,0.1162366695643898
4253,Kevin Henderson,LW/C,2005,0.11615341106572873
4254,Michael Moran,F,2012,0.11614215275430899
4255,Joey Kornelsen,C/RW,2011,0.1161415697831473
4256,Alexandr Hegegy,D,2006,0.11610943820675043
4257,Michal Roman,D,2016,0.11610943820675043
4258,Ctirad Ovcacik,D,2003,0.11610943820675043
4259,Dan Baco,F,2007,0.1161069838396962
4260,Jared Dedenbach,F,2013,0.11607475773453696
4261,Andreas Englund,D,2014,0.11606665777326543
4262,Alex Hudson,F,2005,0.11605512082738852
4263,Bryan Sienerth,C,2014,0.11604651768386087
4264,Nick Hutchison,C,2013,0.11603301964930393
4265,Zach Risteau,C/LW,2016,0.11601390031623883
4266,Ethan DeStefani,RW,2017,0.11598539908413807
4267,Dante Palecco,LW,2016,0.11597142165652286
4268,Kyle Jukosky,C,2007,0.11595699294324899
4269,Jordan Boucher,LW,2012,0.11581065909746083
4270,Derek Froats,LW,2010,0.11580413810954818
4271,Rob Flick,C/LW,2009,0.1157746298903261
4272,Nicholas Olczyk,F,2015,0.11570793772042383
4273,Jason Polin,F,2017,0.1156645709123482
4274,Michael Parks,RW,2010,0.115638636512436
4275,Brad Gehl,RW,2009,0.11562916605249057
4276,Matthew VanVoorhis,D,2011,0.1156279512509934
4277,Paul Washe,C,2017,0.11556976749579526
4278,John Wiitala,LW,2013,0.11555867787559186
4279,Cole Hults,D,2016,0.115546000894969
4280,Ondrej Pekarik,C,2008,0.11550572644157736
4281,Jack Downing,RW/C,2007,0.11549925850017867
4282,Christian Cakebread,LW,2015,0.11549331524510104
4283,Ben Fanelli,D,2011,0.11542175360484483
4284,Mark Armstrong,F,2006,0.11541683473078912
4285,Lawton Courtnall,LW,2014,0.11541586447325182
4286,Kris Myllari,D,2015,0.115407693231461
4287,Max Humitz,F,2013,0.1153929201566977
4288,Jon Globke,F,2004,0.11538946917921383
4289,Garrett Peterson,RW,2009,0.11531806217167129
4290,Lance Yaremchuk,C/LW,2014,0.11529851959294937
4291,Dominik Bohac,D,2008,0.11529539444456809
4292,Brandon Alderson,RW,2010,0.11523942829862316
4293,Alexander Frye,C,2016,0.11521976780332405
4294,Scott Restoule,C,2005,0.11521819202243144
4295,Niki Petti,C,2014,0.11520174609768852
4296,Kyle Tarini,RW/C,2008,0.1151684230653591
4297,David Ruzicka,D,2006,0.11506635877158525
4298,Josef Hrabal,D,2003,0.11497281888628386
4299,Jiri Jebavy,D,2007,0.1149221452670823
4300,Jiri Riha,D,2011,0.1149221452670823
4301,Jakub Jerabek,D,2009,0.1149221452670823
4302,Matej Vala,D,2017,0.1149221452670823
4303,Kevin Kerr,D,2014,0.11491213255995267
4304,Travis Bobbee,D,2008,0.11489303718740418
4305,Justin Cseter,F,2006,0.11478074204364269
4306,Dakota Eveland,F,2009,0.11475128867935082
4307,Fraser Bulbuc,LW,2013,0.11473945306326581
4308,Conor McGlynn,C,2013,0.11464366194309769
4309,Brian Halonen,F,2017,0.11463650169970496
4310,Daniel Ruzicka,D,2010,0.11462127326812616
4311,Libor Haschka,D,2007,0.11462127326812616
4312,Tomas Prsticky,D,2003,0.11462127326812616
4313,Tomas Pavelka,D,2011,0.11462127326812616
4314,Jakub Sulc,D,2004,0.11462127326812616
4315,Jan Sedlák,D,2013,0.11462127326812616
4316,Petr Machacek,D,2004,0.11462127326812616
4317,Dominik Valik,D,2016,0.11462127326812616
4318,Filip Pyrochta,D,2014,0.11462127326812616
4319,Martin Dudas,D,2005,0.11462127326812616
4320,Kyle Madsen,D,2010,0.11456795957355792
4321,Samuel Dove-McFalls,LW/C,2015,0.11456143318266002
4322,Patrik Eklund,D,2009,0.11455892626569869
4323,Mitch Bennett,RW,2010,0.11449614849308687
4324,Brent Cornelius,D,2005,0.1144127150901668
4325,Brad Belisle,C,2016,0.11436562260444083
4326,Quinn Benjafield,RW,2016,0.1143634578418754
4327,Kyle Reeds,F,2006,0.11435144926017116
4328,Hayden Hodgson,RW,2014,0.11432992102220807
4329,Ryan Coghlan,D,2014,0.11430933069747443
4330,Johan Magnusson,D,2003,0.11427852344771841
4331,Brad Cocca,C,2017,0.11426320439359074
4332,Ryan Funk,D,2007,0.1141926354944034
4333,Chad Demers,F,2009,0.11418435762236977
4334,Andy Ryan,D,2011,0.11415366749172123
4335,Travis Erstad,RW,2007,0.11413983036061962
4336,Zane Neily,LW,2007,0.11413458550053104
4337,Hunter Luhmann,RW,2015,0.11409486815927573
4338,Ben Meyers,C/LW,2017,0.11408231839375212
4339,Sam Sternschein,LW,2016,0.11407365810628056
4340,Ron Cramer,F,2006,0.11405184717393374
4341,Bryce Lamb,C,2008,0.11395295860405538
4342,Aaron Berisha,RW,2013,0.11393395202877107
4343,Jack St. Ivany,D,2017,0.11392501135687114
4344,Mike Noyes,D,2006,0.11390853681919587
4345,Charlie Dovorany,C,2017,0.11389823580385416
4346,Andy Baker,RW,2017,0.11384411946627268
4347,Justin Hodgman,C,2006,0.11382220142950927
4348,David Sherman,LW,2016,0.11381821078027343
4349,Josh Sterk,C,2013,0.11379173640491327
4350,Nick Zajac,LW/C,2013,0.11372970467893416
4351,Kyle Ermel,C,2005,0.11371101591743892
4352,Tylan Stephens,C,2007,0.11368102840126174
4353,Josh Wainman,D,2017,0.11366498937949215
4354,Anthony Ast,C/RW,2013,0.11365097969158226
4355,Ian Tallett,D,2006,0.11360234588683768
4356,David Searle,D,2010,0.11357701463752515
4357,Alex Cord,D,2010,0.11357701463752515
4358,Kody Gagnon,D,2015,0.11357701463752515
4359,Brook Hiddink,C/RW,2014,0.11347880496396828
4360,Danny Hobbs,C/LW,2007,0.11345073762172107
4361,Eric Bennett,F,2006,0.11340279307363949
4362,Robert Kousal,C/W,2009,0.11339616443399556
4363,Mike Borisenok,C,2006,0.113382433018654
4364,Alexandre Payusov,RW,2015,0.11336962558442097
4365,Francis Menard,LW,2010,0.11332065662650775
4366,Nick Betz,RW,2013,0.11330733943706305
4367,Jay Merkley,C,2013,0.11330227972080353
4368,Adam Berg,LW,2015,0.113260854686488
4369,Scott Ramsay,D,2009,0.11323737140963037
4370,Robbie DeMontis,LW,2014,0.11321380374376017
4371,Jason Willms,C,2017,0.11319797915601185
4372,Jeff LoVecchio,LW,2003,0.11317402984009141
4373,David Johnstone,RW,2010,0.11314283489409277
4374,Ben Hawerchuk,LW,2016,0.11308364679574504
4375,Chase Ryan,D,2005,0.11307955607335843
4376,Michael Hasson,RW,2010,0.11301294046034602
4377,Brian Spring,F,2005,0.11297819081478293
4378,Tyler Kotlarz,RW,2009,0.11297819081478293
4379,Jeff McMinimy,F,2010,0.11297819081478293
4380,Jason Kowalczyk,F,2014,0.11297819081478293
4381,Nick Kunin,F,2014,0.11297819081478293
4382,Derek Elliott,F,2006,0.11297819081478293
4383,Ladislav Zikmund,LW/RW,2013,0.11297819081478293
4384,Dwyer Tschantz,RW,2013,0.11297819081478293
4385,Mac Welsher,C,2017,0.11297819081478293
4386,Brad Krueger,F,2004,0.11297819081478293
4387,Paul Vella,F,2014,0.11297819081478293
4388,Trevor Fidler,C,2013,0.11297819081478293
4389,Andrew Gaus,RW,2013,0.11297819081478293
4390,Bobby Dalzell,F,2006,0.11297819081478293
4391,Jerry Harding,F,2017,0.11297819081478293
4392,Matthew Seidel,F,2012,0.11297819081478293
4393,Joshua Racek,LW,2012,0.11297819081478293
4394,Riley Prattson,C,2017,0.11297819081478293
4395,Dominic Zombo,RW/LW,2009,0.11297819081478293
4396,Mitchel Slattery,RW,2014,0.11297819081478293
4397,Will Schlagenhauf,F,2017,0.11297819081478293
4398,Dan Labosky,LW,2013,0.11297819081478293
4399,Van Barr,F,2015,0.11297498353093535
4400,Alex Lippincott,C/LW,2010,0.11293912052653682
4401,Cullen Mercer,C,2015,0.11292369090460867
4402,Marty Doyle,RW,2004,0.11291995820335635
4403,Sean Dolan,RW/C,2006,0.11289888903732656
4404,Reed Lebster,F,2017,0.11286321555611654
4405,Michael Annett,D,2004,0.1128577419786694
4406,Mitchell Mattson,C,2016,0.1128533681935778
4407,Eddie Olczyk,F,2007,0.11282671882561279
4408,Angus Scott,C,2015,0.1128113000806521
4409,Armand de Swardt,F,2009,0.11281122951057126
4410,Grayson Pawlenchuk,C/LW,2015,0.11280557708990435
4411,Berkley Scott,C,2009,0.11277460978520307
4412,Tom Linder,D,2004,0.11271715739495493
4413,Austin Osmanski,D,2016,0.11271517264894293
4414,Robbie Vrolyk,F,2007,0.11270399132705994
4415,Jakob Batcha,F,2011,0.1126572192444265
4416,Nathan Pageau,F,2007,0.11263875462894615
4417,August Von Ungern-Sternberg,F,2015,0.11263039178367903
4418,Bradley Chenier,LW,2017,0.11259403935459564
4419,Liam Stevens,LW/C,2017,0.11257681530296934
4420,Owen MacDonald,C/RW,2014,0.11257481476678391
4421,Ian Mansfield,F,2013,0.1125589491806162
4422,Daniel Pachis,C,2009,0.11255094875147881
4423,Jason Akeson,RW,2008,0.11250272671170966
4424,Jason Pitton,LW,2004,0.11246880755151116
4425,Mitchell Chaffee,RW,2016,0.11244712254055123
4426,Jason Kelly,C,2010,0.11243587238532918
4427,Kaine Geldart,RW,2007,0.11242945067106958
4428,Michal Moravcik,D,2013,0.11238577706194491
4429,Jan Bednar,D,2017,0.11238577706194491
4430,Ben Alavie,D,2008,0.1123753275649913
4431,Tony Lucia,LW,2005,0.11236918767409373
4432,Bryton Sayers,D,2014,0.11229021029915401
4433,Nick Oddo,RW/C,2008,0.1122705137065643
4434,Jean-Sébastien Breton,F,2005,0.11220323721004302
4435,Tyler Moy,C/RW,2013,0.11217511177454127
4436,Dan Sturges,F,2003,0.11214956164067282
4437,Nikita Milyokhin,RW,2015,0.11213997028888886
4438,Andrew Lamont,F,2010,0.11212622380798583
4439,Keenan MacIsaac,D,2017,0.11205915637432796
4440,Brendon Kearney,LW,2013,0.11205075671483375
4441,Dominick Sacco,F,2013,0.11205075671483375
4442,Cutler Martin,F/D,2012,0.11205075671483375
4443,Michael Babcock,RW/LW,2013,0.11205075671483375
4444,Kyle Kawamura,C,2017,0.11200428320719388
4445,Nick Esposto,RW,2009,0.11200290659163628
4446,Gage Hough,F,2011,0.11195363466232552
4447,Kyle DeCoste,RW,2008,0.1119511973109932
4448,Darian Dziurzynski,LW,2009,0.11193490976289858
4449,Cody Murphy,LW,2009,0.11188674618589156
4450,Justin Rasmussen,C,2011,0.1118807401032249
4451,Garret Ross,LW,2010,0.11187904004929713
4452,Jacob Coleman,F,2015,0.11187614719567972
4453,Ashton Altmann,F,2016,0.11187614719567972
4454,Mitchell Smith,LW,2014,0.11187614719567972
4455,Jared Thomas,LW,2012,0.11187614719567972
4456,Evan Smith,C/LW,2014,0.11187614719567972
4457,Troy Conzo,F,2015,0.11187614719567972
4458,Daniel Doremus,RW,2010,0.11187614719567972
4459,Thomas Lindstrom,LW,2013,0.11187614719567972
4460,Kyle Novak,RW,2011,0.11187614719567972
4461,John Schilling,F,2013,0.11187614719567972
4462,Jay Camper,C/RW,2009,0.11187614719567972
4463,John Sladic,F,2016,0.11187614719567972
4464,Ryan McMurphy,RW,2012,0.11187614719567972
4465,T.J. Sarcona,LW,2010,0.11187614719567972
4466,Michael Forney,LW,2006,0.11187614719567972
4467,T.J. Moore,F,2013,0.11187614719567972
4468,Luke Sandler,LW,2011,0.11187055291005986
4469,Brenden Stanko,C,2017,0.11181956511114038
4470,Jacob Pritchard,LW,2013,0.11181956511114038
4471,Samuel Walker,C,2017,0.11181956511114038
4472,Grant Meyer,RW,2014,0.11181956511114038
4473,Shane Sellar,F,2015,0.11181956511114038
4474,Sebastian Fuchs,LW,2015,0.11181956511114038
4475,Mike Ferrantino,C,2011,0.11181956511114038
4476,Matthew Fawcett,F,2017,0.11181817322629621
4477,John Baiocco,F,2013,0.11181817322629621
4478,Christopher Berger,LW,2016,0.11181817322629621
4479,Jake Slaker,C,2014,0.11181817322629621
4480,Matt Demelis,F,2017,0.11181817322629621
4481,Anthony Siderio,C,2014,0.11181817322629621
4482,Konur Peterson,F,2016,0.11181817322629621
4483,T.J. Sagissor,F,2017,0.11181817322629621
4484,Niko Hildenbrand,F,2013,0.11181817322629621
4485,Jagger Joshua,F,2017,0.11181817322629621
4486,Kyle Greco,F,2006,0.11181817322629621
4487,Carter Wade,F,2016,0.11181817322629621
4488,Christopher Brown,C,2014,0.11181817322629621
4489,Kyle Schmidt,F,2012,0.11181817322629621
4490,Matt Shouneyia,F,2004,0.11181817322629621
4491,Ryan Badger,C,2012,0.11181817322629621
4492,John Stevens,C,2012,0.11181817322629621
4493,Chase Berger,C,2013,0.11181817322629621
4494,Thomas Aldworth,RW/C,2013,0.11181817322629621
4495,Ty Amonte,RW,2016,0.11181817322629621
4496,Chase Brand,C,2017,0.11181817322629621
4497,Will Suter,F,2010,0.11181817322629621
4498,Tanner Tweeten,RW,2015,0.11181817322629621
4499,Brad Elliott,LW,2005,0.11181817322629621
4500,Mason Bergh,F,2013,0.11181817322629621
4501,Thomas Parrottino,F,2016,0.11181817322629621
4502,Alex Jasiek,F,2014,0.11181817322629621
4503,Austin Rueschhoff,C,2015,0.11181817322629621
4504,John Kemp,F,2005,0.11181817322629621
4505,Peter Tischke,D,2014,0.11181095771336988
4506,Jamie Haines,C,2009,0.11179786531986252
4507,Marat Kalimulin,D,2006,0.11178816019054649
4508,Troy Murray,D,2005,0.11177290867320805
4509,Mitch Dunning,D,2010,0.11174172554930287
4510,Daniel Robertson,D,2015,0.11174172554930287
4511,Matt Clarke,C/D,2006,0.11173285142757468
4512,Evan Dougherty,RW,2017,0.11171431243551777
4513,Spencer Anderson,LW,2006,0.1116611294841445
4514,Bryan Basilico,LW,2013,0.11166112947265497
4515,Jonathan Bendorf,LW,2017,0.11165293360119385
4516,Collin Rutherford,C,2016,0.11164826524138902
4517,Liam Walsh,LW,2017,0.11163754022296164
4518,Ryan Stephenson,LW,2004,0.11155859909772115
4519,Ben Holmstrom,C,2005,0.11154848233548013
4520,Austin Ortega,RW,2012,0.11150651853120602
4521,Niclas Lundgren,D,2008,0.11149562439228046
4522,John Leonard,LW,2016,0.11148619421216124
4523,Matt Bourdeau,RW,2007,0.11147771660309723
4524,Mitch Wheaton,D,2013,0.11141310339749283
4525,Dan Ford,D,2009,0.11140878676011454
4526,Bobby Hampton,C,2016,0.11138392908624087
4527,Kyle Mackey,D,2013,0.11138300395302639
4528,Greg Thocker,D,2008,0.11137223171496409
4529,Jonathan Milhouse,C,2007,0.11137068118553123
4530,Joseph Cassetti,LW,2017,0.1113598877007539
4531,Anthony DeCenzo,F,2008,0.11135780941358
4532,Zach Grzelewski,LW,2015,0.1113539190570342
4533,Corbin McGuire,RW,2011,0.11134456151285288
4534,Justin Bean,D,2014,0.11133707743932646
4535,Shaw Boomhower,LW/C,2017,0.11133702253902783
4536,Petr Stloukal,C,2011,0.11126904924458694
4537,Ryan Tuffin,LW,2012,0.11124654285696631
4538,Semyon Krasheninnikov,C/RW,2015,0.11122871208357743
4539,Tye Ausmus,D,2015,0.11121896651874127
4540,Rob Johnson,F,2005,0.111212240377465
4541,Eric Bigham,RW,2005,0.11121224036099953
4542,Nikolas Olsson,RW,2012,0.11120625027484296
4543,Austin Hervey,LW,2011,0.11119804876998268
4544,Jack Badini,C,2016,0.11116977483655452
4545,Drydn Dow,D,2011,0.11116108220323076
4546,Garrett Festerling,C,2004,0.11115311251848717
4547,Dakota Conroy,RW,2012,0.11113858635748805
4548,Shaun Clinton,C,2004,0.11110464883283032
4549,Layne Bensmiller,RW,2015,0.11110126114839394
4550,Andrew Wilson,RW,2007,0.11107188184577924
4551,Mason Vukonich,F,2016,0.11097581414932195
4552,Morgan Barron,C/LW,2017,0.11097581414932195
4553,Aaron Herdt,C/LW,2013,0.11097581414932195
4554,Brenden Arniel,LW,2008,0.11097581414932195
4555,David Lehman,F,2005,0.11097581414932195
4556,Jon Russell,RW,2016,0.11097581414932195
4557,Collin Appleton,F,2015,0.11097581414932195
4558,Dejan Pajic,LW,2003,0.11097581414932195
4559,Tyler Rehm,F,2011,0.11097581414932195
4560,Ryan Sandelin,C,2017,0.11097581414932195
4561,Frédéric St-Denis,D,2004,0.1109742549874412
4562,Anthony Callin,F,2017,0.11096915618931769
4563,Scott Wamsganz,LW,2010,0.11093717878948264
4564,Jacob Johnstone,F,2008,0.11087853021167365
4565,Colin Markison,RW,2010,0.11086484078433673
4566,Kenton Dulle,RW,2006,0.1108326676573533
4567,Craig Hottot,RW,2010,0.11082975440389921
4568,Brendan Sheehan,F,2007,0.11077370143981918
4569,Zachary Roberts,LW,2017,0.11076395485505217
4570,Michael MacDonald,LW,2009,0.11070255446171266
4571,Vladimir Tyufyakov,LW,2005,0.11070255446171266
4572,Jordan Poirier,C,2012,0.11070255446171266
4573,Daniel Pugliese,F/D,2014,0.11070255446171266
4574,Jacob Smith,C,2013,0.11070255446171266
4575,Frank Pucci,C,2015,0.11070255446171266
4576,Jeremy Reese,LW/RW,2005,0.11070255446171266
4577,Dylan Goddard,LW,2010,0.11070255446171266
4578,Jared Dennis,LW,2012,0.11070255446171266
4579,Derek Todosichuk,RW,2013,0.11070255446171266
4580,Tyler Doig,C,2004,0.11070255446171266
4581,Stefan Thompson,C,2009,0.11070255446171266
4582,Josh Barraclough,LW,2017,0.11070255446171266
4583,Peter Halash,F,2013,0.11069783149245563
4584,Alexander Protapovich,C/W,2014,0.1106870711479998
4585,Steven Hensley,D,2010,0.11068465768061111
4586,Jacob Elmer,RW,2017,0.11068146759465945
4587,Devereaux Heshmatpour,D,2005,0.1106787729583199
4588,Patrick Delisle-Houde,C,2009,0.1106715284603759
4589,Presten Kopek,C,2013,0.11066753142434246
4590,Ondrej Machala,F,2017,0.1106589165882911
4591,Lucas Cullen,C,2017,0.11058699184322845
4592,Michael Boyle,D,2016,0.11054341355999622
4593,Scott Valentine,D,2009,0.11054264723629173
4594,Miha Zajc,C,2015,0.11053534183828359
4595,Tim Lappin,F,2012,0.11052140415762171
4596,Dax Lauwers,D,2010,0.110503191571586
4597,Scoley Dow,LW,2017,0.110498076726302
4598,Jacob Ball,RW,2017,0.11047769138649957
4599,Travis Wood,LW,2014,0.11047408392750067
4600,Jake Nielsen,F,2016,0.11046866535231539
4601,Troy Brouwer,RW/LW,2003,0.11045400955936324
4602,Johan Wåhlstedt,D,2005,0.1104437344839782
4603,Filips Buncis,C,2015,0.11042668887017679
4604,Daniel Barczuk,LW,2006,0.11042668887017618
4605,Jeremy Smith,D,2003,0.11042072158181014
4606,Denver Manderson,LW,2007,0.11041536461133794
4607,Johnson Andrews,RW,2009,0.11037369028701649
4608,Colin Baker,F,2003,0.1103525530996895
4609,Justin Bruckel,RW,2008,0.11032918400554408
4610,Jordan Maletta,C,2013,0.11028917823548148
4611,Tyler Graovac,C/LW,2011,0.11026753200524178
4612,Owen Lane,LW,2017,0.11026670891526902
4613,Tyler Boston,C,2015,0.11026574623915086
4614,Mike Sislo,RW,2006,0.11021119865011673
4615,Nathan Green,C,2007,0.11020496247712794
4616,Skyler Brind'Amour,C,2017,0.11018713466049593
4617,Bobby Shea,D,2008,0.11015496823641382
4618,Chris Leveille,RW,2005,0.1101434654620318
4619,Pavel Tkachkov,F,2017,0.11011376518988253
4620,Zach Hall,C/LW,2011,0.11010439610204284
4621,Matt Sokol,C,2008,0.1100669192161037
4622,Eliezer Sherbatov,LW,2010,0.11003082950232404
4623,Dan Venard,D,2004,0.11001105596964979
4624,Mitchell Heard,C,2010,0.11000619800975786
4625,Jake Henderson,RW,2015,0.1099984553654005
4626,Ryan Devito,F,2005,0.10998545893107772
4627,Marc-André Dorion,D,2005,0.10998031139226239
4628,Tanner Pond,C,2011,0.10996695535156661
4629,Bo Hanson,D,2016,0.10991560149303219
4630,Patrick Tiesling,LW,2006,0.10987148978970665
4631,Chiwetin Blacksmith,LW,2015,0.10985243445396183
4632,Tomas Jurdic,D,2006,0.1098338923168681
4633,Samuel Henley,C/LW,2011,0.10983280762163791
4634,Logan O'Connor,C,2014,0.1098003880486278
4635,Mitch Hughes,F,2010,0.10976879137308329
4636,Aidan McFarland,LW,2017,0.10976186200548715
4637,Vladislav Dzhioshvili,F,2016,0.10972556616610735
4638,Joe Pleckaitis,LW,2007,0.10971664555519928
4639,Geoff Guimond,LW,2007,0.10967624872082857
4640,Derek Whitmore,LW,2003,0.1096741329677598
4641,Alex Gacek,RW,2011,0.10961395554595668
4642,Alex Racino,C,2011,0.10960778473575526
4643,Dmitri Orlov,D,2009,0.10959568320979235
4644,Kyle Bortis,C,2006,0.10956519366658896
4645,Ben Rosen,F/D,2007,0.1095511792506749
4646,Frederik Tiffels,LW/C,2013,0.10954786662979055
4647,Ben Dykstra,F,2007,0.10953346644766951
4648,Lindsay Nielsen,C,2007,0.10950100904062586
4649,Butrus Ghafari,D,2014,0.10950065968494171
4650,David Jacobsen,LW,2003,0.1094518861957447
4651,Garrett Hooey,C,2012,0.10937475224888642
4652,Jake Cass,D,2014,0.109349710361515
4653,Josh Catto,RW,2006,0.10934278851063992
4654,Brett Kitt,LW,2014,0.10931783484041915
4655,Ian Slater,RW/C,2006,0.10929025031944986
4656,John Wojciechowski,C,2016,0.109283230335633
4657,Stu Bickel,D/RW,2005,0.1092829056778265
4658,Justin Kirchhevel,F,2007,0.1092829056778265
4659,Garrett Wait,LW,2016,0.1092463288827974
4660,Mike Kramer,F,2005,0.10924510502112691
4661,Dawson Holt,RW/C,2017,0.10923054689205623
4662,Kyle Tront,LW,2007,0.10921235317174575
4663,Jared Fiegl,LW,2014,0.10920938546455952
4664,Stu Wilson,C,2010,0.10918342357736602
4665,Chase Lang,C/W,2014,0.10917056183465493
4666,David Brownschidle,F,2007,0.10915096889242223
4667,Joel Wigle,RW,2012,0.10913653710485527
4668,Isaac Kohls,C,2009,0.10911751669754396
4669,Travis Fuller,LW,2004,0.10910410758068195
4670,Mike Curry,RW,2003,0.10901123796242167
4671,Zach Aston-Reese,C/W,2012,0.10900760766048648
4672,Aaron Taylor,LW,2011,0.10900292600967323
4673,Brandon Baddock,LW,2013,0.10900150964084021
4674,Austin Swingle,F,2013,0.10894324950167678
4675,Michael Sit,F,2011,0.10889198612838735
4676,George Mika,F,2015,0.10889198612838735
4677,Nico Blachman,RW,2016,0.10889198612838735
4678,Trevor Olson,RW,2012,0.10889198612838735
4679,Chris Morrison,D,2004,0.10886841994577055
4680,Sean Little,RW,2009,0.10886356515513622
4681,Dylan Montcalm,LW,2015,0.1088555385566489
4682,Mike Van Wagner,D,2004,0.10883936004066898
4683,Brenden Trottier,C,2015,0.10881212620449962
4684,Jake Unsworth,RW/D,2010,0.10879383073267693
4685,Mike Steadman,LW,2005,0.10879383073267693
4686,Todd Jackson,LW,2006,0.10879383073267693
4687,Marek Polak,F,2006,0.10879383073267693
4688,Brenden Biedermann,LW,2005,0.10879383073267693
4689,Chris Kangas,F,2007,0.10879383073267693
4690,Zac Vukosa,C,2016,0.10879383073267693
4691,Philip Teri,C,2009,0.10879383073267693
4692,Christian Mitri,C,2016,0.10879383073267693
4693,Tyson Baker,LW,2013,0.10879383073267693
4694,Brian Hughes,C,2011,0.10879383073267693
4695,Austin Boulard,F,2013,0.10879383073267693
4696,Jakub Straus,F,2003,0.10879383073267693
4697,Jacob Stos,LW,2016,0.10879383073267693
4698,Brad White,F,2004,0.10879383073267693
4699,Kyle O'Neil,C,2003,0.10879383073267693
4700,Tyler Jackson,LW,2013,0.10879383073267693
4701,Nick Deakin-Poot,C,2017,0.10878443438794354
4702,Vitali Shumilov,D,2004,0.10876262127160216
4703,R.D. Chisholm,D,2008,0.10876029859046742
4704,Micheal Haley,C/LW,2004,0.10875688744255271
4705,Dane Cooper,D,2012,0.10874637955096961
4706,Jarid Hauptman,C,2012,0.10873048429764938
4707,Nathan Kwiecinski,D,2014,0.10871825404339998
4708,Sam Schutt,LW,2012,0.1086423693140655
4709,Marc Cantin,D,2008,0.1085842179577539
4710,Brett Mackie,LW,2009,0.1085777564123932
4711,Richard Greenop,C,2007,0.1085623251849081
4712,Travis Turnbull,C/RW,2004,0.10855301749450244
4713,Ryan Van Stralen,RW,2012,0.10851445241247347
4714,Viktor Shakhvorostov,LW,2013,0.10850797126598796
4715,Phil DeSimone,W/C,2005,0.1084917361515205
4716,Jared Rickord,F,2009,0.10848189205153938
4717,Tyler Harrison,C,2003,0.10847938075724231
4718,Zachary Magwood,C,2016,0.10846069414395666
4719,Joé Dubé,C,2010,0.10844303009049916
4720,Kole Bryce,RW,2004,0.10838676189189006
4721,Keli Grant,RW,2011,0.10838676189189006
4722,James Woodcroft,RW,2008,0.10838676189189006
4723,Chris Dunham,C,2008,0.10838676189189006
4724,Nolan Gardiner,C,2016,0.10838676189189006
4725,Mark Thorburn,LW,2005,0.10838676189189006
4726,Jason Lacroix,LW,2011,0.10838676189189006
4727,Michael Mastrangelo,LW/D,2011,0.10838676189189006
4728,Michael Fish,RW,2003,0.10838676189189006
4729,Christopher Leeming,RW,2008,0.10838676189189006
4730,Chase Crowder,RW,2006,0.10838676189189006
4731,Harrison Cottam,RW,2017,0.10838676189189006
4732,Blake Thomas,F,2011,0.10838676189189006
4733,Adam Nanji,RW/C,2011,0.10838676189189006
4734,Dakota Miskolczi,LW,2016,0.1083483437116558
4735,James Cameron,RW,2006,0.1083483437116558
4736,Jake Gilmour,RW,2014,0.1083483437116558
4737,Rickey Buehler,LW,2010,0.1083483437116558
4738,Adam Kozlowski,LW,2016,0.1083483437116558
4739,Kyle Lekun,C,2010,0.1083483437116558
4740,Brett Primeau,RW,2015,0.1083483437116558
4741,Ty Learn,LW,2014,0.1083483437116558
4742,Tyson Isaac,LW,2009,0.1083483437116558
4743,Timofei Tankeyev,C,2011,0.1083483437116558
4744,Kris Belan,LW,2005,0.1083483437116558
4745,Matt Moulakelis,F,2005,0.1083138555844946
4746,Mason Kohn,C/LW,2015,0.10829966359672744
4747,Quinn Hanna,D,2017,0.10827766925404292
4748,Brandon Shea,C,2013,0.10827352210888766
4749,Juraj Milý,RW,2015,0.1082725683069322
4750,Mike Testwuide,RW,2005,0.1082542916822943
4751,Mike Angelidis,LW/C,2003,0.10824857288240079
4752,Jordan Clendenning,C,2005,0.10824702942735422
4753,Landon Smith,LW,2012,0.1082214607952129
4754,Larry Smith,D,2011,0.1082106430000414
